"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"17.10.2022","19.532,0","19.266,0","19.683,0","19.168,0","1,33K","1,36%"
"16.10.2022","19.269,0","19.072,0","19.428,0","19.068,0","0,78K","1,03%"
"15.10.2022","19.072,0","19.187,0","19.227,0","18.993,0","0,74K","-0,60%"
"14.10.2022","19.187,0","19.387,0","19.946,0","19.103,0","2,57K","-1,03%"
"13.10.2022","19.387,0","19.158,0","19.503,0","18.200,0","6,27K","1,20%"
"12.10.2022","19.158,0","19.062,0","19.232,0","19.026,0","3,49K","0,50%"
"11.10.2022","19.062,0","19.128,0","19.260,0","18.870,0","8,84K","-0,34%"
"10.10.2022","19.128,0","19.444,4","19.527,0","19.056,0","4,69K","-1,63%"
"09.10.2022","19.444,4","19.418,0","19.551,4","19.326,0","1,12K","0,14%"
"08.10.2022","19.418,0","19.533,0","19.621,4","19.275,0","1,23K","-0,59%"
"07.10.2022","19.533,0","19.957,0","20.053,0","19.336,0","7,68K","-2,12%"
"06.10.2022","19.957,0","20.156,0","20.444,0","19.866,0","6,43K","-0,99%"
"05.10.2022","20.156,0","20.340,0","20.363,0","19.756,8","6,99K","-0,90%"
"04.10.2022","20.340,0","19.638,0","20.470,0","19.510,0","8,47K","3,57%"
"03.10.2022","19.638,0","19.066,0","19.688,0","18.985,0","10,89K","3,00%"
"02.10.2022","19.066,0","19.317,0","19.396,0","18.945,0","3,16K","-1,30%"
"01.10.2022","19.317,0","19.430,0","19.485,0","19.172,0","0,94K","-0,58%"
"30.09.2022","19.430,0","19.588,0","20.171,0","19.201,0","11,70K","-0,81%"
"29.09.2022","19.588,0","19.419,0","19.651,3","18.863,0","8,40K","0,87%"
"28.09.2022","19.419,0","19.096,6","19.783,0","18.495,0","16,06K","1,69%"
"27.09.2022","19.096,6","19.229,5","20.373,0","18.856,0","14,96K","-0,69%"
"26.09.2022","19.229,5","18.817,0","19.326,0","18.699,0","43,75K","2,19%"
"25.09.2022","18.817,0","18.935,0","19.179,0","18.647,0","4,11K","-0,62%"
"24.09.2022","18.935,0","19.298,8","19.314,0","18.822,0","1,33K","-1,89%"
"23.09.2022","19.298,8","19.413,0","19.512,0","18.562,0","14,55K","-0,59%"
"22.09.2022","19.413,0","18.476,5","19.502,0","18.378,8","28,28K","5,07%"
"21.09.2022","18.476,5","18.886,6","19.888,0","18.214,0","17,62K","-2,17%"
"20.09.2022","18.886,6","19.544,5","19.634,0","18.769,0","9,67K","-3,37%"
"19.09.2022","19.544,5","19.424,0","19.684,0","18.318,0","11,97K","0,62%"
"18.09.2022","19.424,0","20.127,0","20.127,0","19.356,0","2,43K","-3,49%"
"17.09.2022","20.127,0","19.809,9","20.206,0","19.770,0","13,67K","1,60%"
"16.09.2022","19.809,9","19.717,0","19.894,0","19.350,0","6,95K","0,47%"
