"","Fecha","Último","Apertura","Máximo","Mínimo","% var."
"1",2022-09-30,141.84,141.82,142.31,140.76,0.04
"2",2022-09-29,141.78,140.35,141.82,139.39,1.03
"3",2022-09-28,140.33,138.9,140.43,138.03,1.07
"4",2022-09-27,138.85,139.1,139.57,138.59,-0.14
"5",2022-09-26,139.04,138.98,139.55,137.57,0.12
"6",2022-09-23,138.88,140.05,140.28,138.65,-0.77
"7",2022-09-22,139.96,141.7,143.73,138.68,-1.18
"8",2022-09-21,141.63,143.34,143.59,141.59,-1.15
"9",2022-09-20,143.28,143.55,144.05,143.01,-0.15
"10",2022-09-19,143.5,143.21,143.63,142.77,0.26
"11",2022-09-16,143.13,143.57,143.57,142.49,-0.26
"12",2022-09-15,143.5,142.87,143.71,142.54,0.43
"13",2022-09-14,142.89,144.16,144.51,142.27,-0.83
"14",2022-09-13,144.09,144.55,145.06,143.38,-0.3
"15",2022-09-12,144.52,143.68,145.66,143.37,1.01
"16",2022-09-09,143.08,144.08,144.74,142.63,-0.66
"17",2022-09-08,144.03,143.75,144.32,143.16,0.22
"18",2022-09-07,143.72,141.43,144.04,141.37,1.64
"19",2022-09-06,141.4,139.6,141.78,139.56,1.32
"20",2022-09-05,139.56,139.51,139.66,138.67,0.04
"21",2022-09-02,139.51,139.44,140.79,139.24,0.07
"22",2022-09-01,139.41,139.73,140.02,138.91,-0.24
"23",2022-08-31,139.75,139,139.79,138.23,0.57
"24",2022-08-30,138.96,138.65,139.24,138.24,0.25
"25",2022-08-29,138.62,137.3,139,137.01,1.2
"26",2022-08-26,136.98,136.18,138.01,136.07,0.62
"27",2022-08-25,136.13,136.67,137.01,135.99,-0.36
"28",2022-08-24,136.62,136.37,136.82,135.5,0.21
"29",2022-08-23,136.33,136.71,137.18,135.71,-0.24
"30",2022-08-22,136.66,137.37,137.97,136.38,-0.54
"31",2022-08-19,137.4,137.12,137.99,136.93,0.23
"32",2022-08-18,137.08,137.46,137.68,136.54,-0.26
"33",2022-08-17,137.44,136.54,137.92,136.25,0.7
"34",2022-08-16,136.49,135.46,136.96,134.93,0.77
"35",2022-08-15,135.45,137.01,137.09,135.27,-1.07
"36",2022-08-12,136.92,137.22,137.74,136.85,-0.22
"37",2022-08-11,137.22,136.88,137.41,136.29,0.29
"38",2022-08-10,136.82,138.04,138.96,136.57,-0.84
"39",2022-08-09,137.98,137.69,138.33,137.24,0.25
"40",2022-08-08,137.63,137.4,137.95,137.04,0.16
"41",2022-08-05,137.41,136.16,137.79,135.79,0.93
"42",2022-08-04,136.15,136.07,136.95,135.63,0.09
"43",2022-08-03,136.03,135.39,136.46,134.82,0.48
"44",2022-08-02,135.38,135.08,135.43,133.4,0.24
"45",2022-08-01,135.05,136.15,136.36,134.98,-0.76
"46",2022-07-29,136.09,136.93,137.34,135.52,-0.56
"47",2022-07-28,136.85,139.27,139.4,136.33,-1.77
"48",2022-07-27,139.31,138.52,139.54,138.42,0.61
"49",2022-07-26,138.47,139.73,139.87,138.12,-0.86
"50",2022-07-25,139.67,138.95,140.09,138.71,0.52
"51",2022-07-22,138.95,140.54,140.71,138.76,-1.1
"52",2022-07-21,140.5,140.68,142.35,140.14,-0.11
"53",2022-07-20,140.65,141.32,141.95,140.41,-0.45
"54",2022-07-19,141.28,140.1,141.48,139.68,0.85
"55",2022-07-18,140.09,139.73,140.83,139.37,0.25
"56",2022-07-15,139.74,139.21,139.9,138.71,0.45
"57",2022-07-14,139.12,138.27,139.79,137.97,0.64
"58",2022-07-13,138.24,137.4,138.84,137.11,0.63
"59",2022-07-12,137.38,137.99,138.1,137,-0.42
"60",2022-07-11,137.96,138.46,139.18,137.87,-0.44
"61",2022-07-08,138.57,138.21,138.74,136.85,0.31
"62",2022-07-07,138.14,138.43,139.09,137.97,-0.17
"63",2022-07-06,138.37,139.52,139.55,137.23,-0.8
"64",2022-07-05,139.48,141.39,142.4,138.93,-1.36
"65",2022-07-04,141.4,141.13,141.69,140.6,0.3
"66",2022-07-01,140.98,142.27,142.46,139.78,-0.91
"67",2022-06-30,142.27,142.62,142.88,141.37,-0.22
"68",2022-06-29,142.58,143.19,143.9,142.46,-0.41
"69",2022-06-28,143.17,143.37,144.29,142.85,-0.11
"70",2022-06-27,143.33,142.68,143.51,142.04,0.44
"71",2022-06-24,142.7,142.04,142.8,141.4,0.49
"72",2022-06-23,142,144,144.01,141.38,-1.36
"73",2022-06-22,143.96,143.82,144.28,142.66,0.13
"74",2022-06-21,143.78,141.99,144.01,141.9,1.28
"75",2022-06-20,141.96,141.35,142.38,141.32,0.2
"76",2022-06-17,141.68,139.49,141.99,139.43,1.61
"77",2022-06-16,139.44,139.79,140.63,137.84,-0.22
"78",2022-06-15,139.75,141.13,141.51,139.51,-0.95
"79",2022-06-14,141.09,139.9,141.15,139.46,0.89
"80",2022-06-13,139.85,141.34,141.78,139.38,-1.05
"81",2022-06-10,141.34,142.63,142.82,140.79,-0.87
"82",2022-06-09,142.58,143.89,144.21,142.33,-0.86
"83",2022-06-08,143.82,141.88,144.27,141.84,1.39
"84",2022-06-07,141.85,141.04,142.09,140.99,0.59
"85",2022-06-06,141.02,140.28,141.15,139.82,0.54
"86",2022-06-03,140.26,139.52,140.39,139.45,0.54
"87",2022-06-02,139.5,138.54,139.63,138.38,0.7
"88",2022-06-01,138.53,138.14,139.01,138.08,0.3
"89",2022-05-31,138.11,137.49,138.26,136.78,0.47
"90",2022-05-30,137.46,136.49,137.69,136.24,0.81
"91",2022-05-27,136.35,136.37,136.76,135.83,0.01
"92",2022-05-26,136.34,136.02,136.65,135.21,0.27
"93",2022-05-25,135.97,136.16,136.26,134.97,-0.1
"94",2022-05-24,136.11,136.72,136.81,135.52,-0.42
"95",2022-05-23,136.69,135.18,136.82,134.65,1.24
"96",2022-05-20,135.01,135.31,135.83,134.58,-0.21
"97",2022-05-19,135.29,134.24,135.49,133.91,0.83
"98",2022-05-18,134.18,136.49,136.69,134.06,-1.68
"99",2022-05-17,136.47,134.78,136.72,134.48,1.29
"100",2022-05-16,134.73,134.44,135.08,133.74,0.17
"101",2022-05-13,134.5,133.2,134.77,133.1,0.99
"102",2022-05-12,133.18,136.63,136.76,132.65,-2.5
"103",2022-05-11,136.6,137.35,137.73,136.16,-0.51
"104",2022-05-10,137.3,137.52,138.11,137.01,-0.13
"105",2022-05-09,137.48,137.77,138.34,137.04,-0.2
"106",2022-05-06,137.75,137.24,138.18,136.72,0.43
"107",2022-05-05,137.16,137.13,137.6,136.82,0.05
"108",2022-05-04,137.09,136.83,137.45,136.57,0.16
"109",2022-05-03,136.87,136.73,137.38,136.49,0.15
"110",2022-05-02,136.67,136.81,137.64,136.49,-0.13
"111",2022-04-29,136.85,137.35,138.01,136.47,-0.38
"112",2022-04-28,137.37,135.59,138.02,135.41,1.34
"113",2022-04-27,135.55,135.34,136.16,134.76,0.19
"114",2022-04-26,135.29,137.28,137.57,135.3,-1.17
"115",2022-04-25,136.89,139.02,139.18,136.48,-1.35
"116",2022-04-22,138.77,139.14,139.5,138.23,-0.24
"117",2022-04-21,139.1,138.8,140.04,138.73,0.25
"118",2022-04-20,138.76,139.07,139.7,138.38,-0.19
"119",2022-04-19,139.03,136.93,139.13,136.85,1.58
"120",2022-04-18,136.87,136.54,137.04,136.42,0.25
"121",2022-04-15,136.53,136.3,136.93,136.26,0.18
"122",2022-04-14,136.28,136.81,136.96,135.51,-0.37
"123",2022-04-13,136.78,135.74,136.9,135.7,0.8
"124",2022-04-12,135.7,136.44,136.67,135.53,-0.53
"125",2022-04-11,136.42,135.96,137.15,135.26,0.89
"126",2022-04-08,135.21,134.83,135.4,134.34,0.3
"127",2022-04-07,134.8,134.88,135.53,134.42,-0.04
"128",2022-04-06,134.85,134.8,135.49,134.7,0.07
"129",2022-04-05,134.76,134.74,135.15,134.28,0.05
"130",2022-04-04,134.69,135.24,135.71,134.55,-0.52
"131",2022-04-01,135.39,134.66,135.91,134.62,0.55
"132",2022-03-31,134.65,135.92,136.87,134.5,-0.91
"133",2022-03-30,135.89,136.21,136.7,134.88,-0.21
"134",2022-03-29,136.18,136.07,137.34,135.29,0.11
"135",2022-03-28,136.03,133.96,137.55,133.95,1.51
"136",2022-03-25,134.01,134.54,134.76,133.71,-0.36
"137",2022-03-24,134.5,133.32,134.63,132.93,0.89
"138",2022-03-23,133.31,133.26,133.91,132.32,0.08
"139",2022-03-22,133.2,131.64,133.35,131.58,1.23
"140",2022-03-21,131.58,131.77,131.99,131.37,-0.07
"141",2022-03-18,131.67,131.53,131.93,131.17,0.13
"142",2022-03-17,131.5,130.99,131.93,130.71,0.4
"143",2022-03-16,130.97,129.6,131.13,129.53,1.11
"144",2022-03-15,129.53,129.3,130.06,129.24,0.19
"145",2022-03-14,129.28,128.02,129.73,127.99,1.05
"146",2022-03-11,127.94,127.56,129.05,127.53,0.31
"147",2022-03-10,127.55,128.3,128.9,127.4,-0.56
"148",2022-03-09,128.27,126.12,128.49,125.99,1.75
"149",2022-03-08,126.06,125.18,126.75,125.08,0.73
"150",2022-03-07,125.15,125.74,125.96,124.38,-0.21
"151",2022-03-04,125.41,127.79,127.83,125.06,-1.82
"152",2022-03-03,127.74,128.49,128.54,127.57,-0.55
"153",2022-03-02,128.45,127.86,128.82,127.29,0.49
"154",2022-03-01,127.82,129.05,129.26,127.36,-0.92
"155",2022-02-28,129.01,129.2,129.82,128.06,-0.91
"156",2022-02-25,130.2,129.31,130.31,128.71,0.71
"157",2022-02-24,129.28,130.06,130.11,127.9,-0.57
"158",2022-02-23,130.02,130.35,130.74,129.93,-0.24
"159",2022-02-22,130.33,129.8,130.79,129.35,0.43
"160",2022-02-21,129.77,130.13,130.91,129.73,-0.32
"161",2022-02-18,130.19,130.59,131.15,130.18,-0.28
"162",2022-02-17,130.56,131.34,131.52,130.38,-0.57
"163",2022-02-16,131.31,131.36,131.93,131.1,0.01
"164",2022-02-15,131.3,130.65,131.57,130.42,0.53
"165",2022-02-14,130.61,130.94,131.41,130.04,-0.28
"166",2022-02-11,130.98,132.57,132.65,130.37,-1.18
"167",2022-02-10,132.55,131.95,133.18,131.85,0.49
"168",2022-02-09,131.91,131.9,132.16,131.6,0.02
"169",2022-02-08,131.88,131.7,132.05,131.46,0.12
"170",2022-02-07,131.72,131.92,132.21,131.24,-0.14
"171",2022-02-04,131.9,131.52,132.11,131.43,0.3
