"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"17.10.2022","0,9837","0,9741","0,9852","0,9722","86,98K","1,00%"
"16.10.2022","0,9740","0,9726","0,9743","0,9719","3,85K","0,22%"
"14.10.2022","0,9719","0,9778","0,9809","0,9707","108,59K","-0,55%"
"13.10.2022","0,9773","0,9702","0,9807","0,9632","95,28K","0,71%"
"12.10.2022","0,9704","0,9708","0,9735","0,9668","93,22K","0,01%"
"11.10.2022","0,9703","0,9700","0,9776","0,9672","127,21K","0,03%"
"10.10.2022","0,9700","0,9736","0,9754","0,9682","97,22K","-0,42%"
"07.10.2022","0,9741","0,9790","0,9818","0,9725","78,52K","-0,48%"
"06.10.2022","0,9788","0,9879","0,9927","0,9787","89,26K","-0,95%"
"05.10.2022","0,9882","0,9986","0,9995","0,9834","88,68K","-1,01%"
"04.10.2022","0,9983","0,9826","1,0000","0,9805","86,11K","1,62%"
"03.10.2022","0,9824","0,9800","0,9845","0,9753","97,65K","0,26%"
"30.09.2022","0,9799","0,9816","0,9855","0,9735","94,06K","-0,15%"
"29.09.2022","0,9814","0,9735","0,9816","0,9635","96,26K","0,82%"
"28.09.2022","0,9734","0,9594","0,9751","0,9535","104,44K","1,48%"
"27.09.2022","0,9592","0,9610","0,9671","0,9568","104,22K","-0,15%"
"26.09.2022","0,9606","0,9679","0,9711","0,9567","109,84K","-0,87%"
"23.09.2022","0,9690","0,9837","0,9852","0,9668","90,97K","-1,48%"
"22.09.2022","0,9836","0,9837","0,9908","0,9808","103,83K","-0,01%"
"21.09.2022","0,9837","0,9972","0,9978","0,9813","87,44K","-1,33%"
"20.09.2022","0,9970","1,0023","1,0051","0,9955","72,94K","-0,52%"
"19.09.2022","1,0022","1,0012","1,0030","0,9966","63,18K","0,07%"
