Fecha,Último,Apertura,Máximo,Mínimo,% var.
2022-09-30,1.6720000000000002,1.6695,1.6844,1.6675,"0,20%"
2022-09-29,1.6686,1.669,1.6731,1.6493,"0,21%"
2022-09-28,1.6651,1.6314,1.666,1.618,"2,08%"
2022-09-27,1.6311,1.6267,1.6435,1.6267,"0,18%"
2022-09-26,1.6282,1.643,1.651,1.6232,"-1,32%"
2022-09-23,1.65,1.6746,1.6746,1.6427,"-1,56%"
2022-09-22,1.6761,1.6743,1.6880000000000002,1.659,"0,34%"
2022-09-21,1.6705,1.6668,1.6859,1.6576,"0,29%"
2022-09-20,1.6657,1.6823,1.6823,1.6659,"-0,41%"
2022-09-19,1.6726,1.6802,1.6802,1.6635,"-0,32%"
2022-09-16,1.6779,1.6656,1.6800000000000002,1.6591,"0,39%"
2022-09-15,1.6714,1.695,1.695,1.6648,"-1,87%"
2022-09-14,1.7031999999999998,1.704,1.7096999999999998,1.7010999999999998,"-0,51%"
2022-09-13,1.712,1.7333999999999998,1.7333999999999998,1.7037999999999998,"-1,36%"
2022-09-12,1.7355999999999998,1.731,1.7372999999999998,1.728,"0,70%"
2022-09-09,1.7235999999999998,1.716,1.7264,1.716,"0,48%"
2022-09-08,1.7152999999999998,1.7233999999999998,1.7254999999999998,1.7134999999999998,"-0,44%"
2022-09-07,1.7228,1.7228,1.7228,1.7228,"0,87%"
2022-09-06,1.7078999999999998,1.7196999999999998,1.7196999999999998,1.7142,"-0,98%"
2022-09-05,1.7248000000000001,1.7191999999999998,1.7266,1.71875,"0,36%"
2022-09-04,1.71865,1.7235999999999998,1.72375,1.71865,"0,06%"
2022-09-02,1.7176999999999998,1.7095999999999998,1.7095999999999998,1.7095999999999998,"0,78%"
2022-09-01,1.7044,1.708,1.708,1.707,"-0,99%"
2022-08-31,1.7213999999999998,1.7213999999999998,1.7213999999999998,1.7213999999999998,"-0,59%"
2022-08-30,1.7315999999999998,1.7315999999999998,1.7315999999999998,1.7315999999999998,"-0,51%"
2022-08-29,1.7405,1.7401,1.7486,1.7225,"-0,01%"
2022-08-26,1.7406,1.7623,1.7623,1.737,"-1,20%"
2022-08-25,1.7617999999999998,1.7551,1.7693,1.7537999999999998,"0,56%"
2022-08-24,1.752,1.7522,1.7596999999999998,1.7454999999999998,"0,03%"
2022-08-23,1.7514999999999998,1.7394999999999998,1.7575999999999998,1.7337999999999998,"0,74%"
2022-08-22,1.7386,1.7505,1.7523,1.7304,"-0,82%"
2022-08-19,1.753,1.7627,1.7627,1.7494999999999998,"-0,46%"
2022-08-18,1.7611,1.7663,1.7758999999999998,1.7589,"-0,31%"
2022-08-17,1.7665,1.7805,1.7863,1.7636999999999998,"-0,72%"
2022-08-16,1.7794,1.7852,1.7876,1.7752,"-0,48%"
2022-08-15,1.7878999999999998,1.8082,1.8082,1.7775999999999998,"-0,96%"
2022-08-12,1.8052,1.7938999999999998,1.8086,1.7898999999999998,"0,47%"
2022-08-11,1.7968,1.7978999999999998,1.8043,1.7885,"-0,36%"
2022-08-10,1.8033,1.7997999999999998,1.8144,1.793,"0,10%"
2022-08-09,1.8015,1.794,1.806,1.7885,"0,40%"
2022-08-08,1.7943,1.7803,1.7955,1.7762,"0,78%"
2022-08-05,1.7805,1.796,1.8005,1.7697999999999998,"-0,87%"
2022-08-04,1.7962,1.7718999999999998,1.801,1.7695,"1,70%"
2022-08-03,1.7661,1.7674,1.7791,1.7596999999999998,"-0,76%"
2022-08-02,1.7796999999999998,1.7793,1.7948,1.7662,"0,12%"
2022-08-01,1.7775999999999998,1.7722,1.7817999999999998,1.7641,"0,34%"
2022-07-29,1.7715,1.7624,1.7742,1.7584,"0,71%"
2022-07-28,1.759,1.7412999999999998,1.764,1.7409,"2,07%"
2022-07-27,1.7232999999999998,1.72,1.743,1.7137999999999998,"0,08%"
2022-07-26,1.7218999999999998,1.7217999999999998,1.7298999999999998,1.7158999999999998,"-0,08%"
2022-07-25,1.7231999999999998,1.7301,1.7343,1.7174999999999998,"-0,47%"
2022-07-22,1.7313999999999998,1.721,1.7403,1.7164,"0,82%"
2022-07-21,1.7172999999999998,1.6971,1.7226,1.6828,"0,79%"
2022-07-20,1.7038999999999995,1.7136999999999998,1.715,1.6946,"-0,60%"
2022-07-19,1.7141,1.7111999999999998,1.7191,1.7076999999999998,"0,02%"
2022-07-18,1.7137999999999998,1.7103,1.7247,1.7089,"0,37%"
2022-07-15,1.7074999999999998,1.7127,1.7167,1.7034999999999998,"-0,14%"
2022-07-14,1.7098999999999998,1.7387,1.7387,1.7006,"-1,70%"
2022-07-13,1.7394999999999998,1.728,1.7482,1.7109,"0,61%"
2022-07-12,1.7289,1.7372,1.7388,1.726,"-0,40%"
2022-07-11,1.7358999999999998,1.7417999999999998,1.7447,1.7351,"-0,62%"
2022-07-08,1.7467,1.7436999999999998,1.7553999999999998,1.737,"0,15%"
2022-07-07,1.7441,1.743,1.7481,1.7424,"0,16%"
2022-07-06,1.7412999999999998,1.7718999999999998,1.7749,1.7368,"-1,56%"
2022-07-05,1.7689,1.817,1.817,1.7689,"0,28%"
2022-07-04,1.7638999999999998,1.8144,1.8152,1.763,"-2,33%"
2022-07-01,1.8059,1.8103,1.8168,1.7889,"-0,34%"
2022-06-30,1.812,1.8163,1.83,1.8115,"-0,55%"
2022-06-29,1.822,1.822,1.822,1.822,"0,04%"
2022-06-28,1.8212,1.8236,1.8309,1.8191,"-0,20%"
2022-06-27,1.8248,1.8396,1.8428,1.8218,"-0,30%"
2022-06-24,1.8303,1.8242,1.8337,1.8177,"0,03%"
2022-06-23,1.8298,1.8397,1.8489,1.8235,"-0,47%"
2022-06-22,1.8384,1.8349,1.8503,1.8245,"-0,02%"
2022-06-21,1.8388,1.8406,1.8484,1.8307,"0,00%"
2022-06-20,1.8388,1.8406,1.8484,1.8307,"-0,10%"
2022-06-17,1.8406,1.8593,1.8615,1.8361,"-0,50%"
2022-06-16,1.8499,1.8358,1.8602,1.8163,"1,67%"
2022-06-15,1.8196,1.8097,1.8454,1.8084,"0,34%"
2022-06-14,1.8135,1.8209,1.8333,1.8061,"-1,00%"
2022-06-13,1.8318,1.879,1.8825,1.819,"-2,33%"
2022-06-10,1.8755,1.8504,1.8796,1.8265,"1,23%"
2022-06-09,1.8528,1.8551,1.8578,1.8419,"-0,20%"
2022-06-08,1.8565,1.855,1.8624,1.8466,"0,24%"
2022-06-07,1.8521,1.8435,1.8582,1.8385,"0,46%"
2022-06-06,1.8437,1.8537,1.8612,1.843,"-0,35%"
2022-06-03,1.8502,1.8726,1.8786,1.8497,"-1,13%"
2022-06-02,1.8714,1.8499,1.8744,1.8465,"1,23%"
2022-06-01,1.8487,1.84,1.853,1.8302,"0,02%"
2022-05-31,1.8484,1.8565,1.8679,1.8376,"0,00%"
2022-05-30,1.8484,1.8565,1.8679,1.8376,"-0,48%"
2022-05-27,1.8573,1.8551,1.8669,1.8519,"0,36%"
2022-05-26,1.8506,1.8545,1.855,1.8404,"0,08%"
2022-05-25,1.8492,1.8676,1.869,1.843,"-1,03%"
2022-05-24,1.8684,1.8554,1.8713,1.8513,"0,96%"
2022-05-23,1.8506,1.8474,1.865,1.8474,"0,32%"
2022-05-20,1.8447,1.8427,1.8488,1.834,"0,04%"
2022-05-19,1.844,1.8183,1.8504,1.8183,"1,37%"
2022-05-18,1.819,1.8162,1.8251,1.8089,"-0,16%"
2022-05-17,1.8219,1.8272,1.8349,1.8143,"0,28%"
