"","Fecha","Último","Apertura","Máximo","Mínimo","% var."
"1",2022-09-30,1.116,1.1115,1.1236,1.1023,0.4
"2",2022-09-29,1.1115,1.0886,1.1121,1.0761,2.08
"3",2022-09-28,1.0888,1.0733,1.0917,1.0539,1.46
"4",2022-09-27,1.0731,1.069,1.084,1.0653,0.44
"5",2022-09-26,1.0684,1.0858,1.0933,1.0384,-1.58
"6",2022-09-23,1.0856,1.1256,1.1275,1.0838,-3.56
"7",2022-09-22,1.1257,1.1269,1.1366,1.1212,-0.08
"8",2022-09-21,1.1266,1.1376,1.1386,1.1237,-0.99
"9",2022-09-20,1.1379,1.1434,1.1462,1.1356,-0.44
"10",2022-09-19,1.1429,1.1417,1.1444,1.1354,0.15
"11",2022-09-16,1.1412,1.1467,1.1482,1.135,-0.44
"12",2022-09-15,1.1463,1.1545,1.1551,1.146,-0.62
"13",2022-09-14,1.1535,1.1493,1.1591,1.1479,0.38
"14",2022-09-13,1.1491,1.1692,1.174,1.1491,-1.61
"15",2022-09-12,1.1679,1.1596,1.1712,1.1595,0.79
"16",2022-09-09,1.1587,1.1504,1.1649,1.1496,0.76
"17",2022-09-08,1.15,1.1528,1.1563,1.1459,-0.22
"18",2022-09-07,1.1525,1.1521,1.1541,1.1405,0.08
"19",2022-09-06,1.1516,1.1517,1.161,1.1493,0.03
"20",2022-09-05,1.1513,1.1518,1.1523,1.1443,0.05
"21",2022-09-02,1.1507,1.1544,1.159,1.1495,-0.3
"22",2022-09-01,1.1542,1.1623,1.1627,1.1499,-0.69
"23",2022-08-31,1.1622,1.1649,1.1695,1.1598,-0.28
"24",2022-08-30,1.1655,1.171,1.1762,1.1621,-0.44
"25",2022-08-29,1.1707,1.1749,1.1754,1.1647,-0.34
"26",2022-08-26,1.1747,1.1832,1.1902,1.1732,-0.69
"27",2022-08-25,1.1829,1.1802,1.1866,1.1783,0.27
"28",2022-08-24,1.1797,1.1841,1.1842,1.1755,-0.29
"29",2022-08-23,1.1831,1.1777,1.1878,1.1717,0.56
"30",2022-08-22,1.1765,1.1824,1.1839,1.1741,-0.52
"31",2022-08-19,1.1827,1.193,1.1942,1.1791,-0.86
"32",2022-08-18,1.193,1.2048,1.2081,1.1922,-0.97
"33",2022-08-17,1.2047,1.2095,1.2143,1.2027,-0.38
"34",2022-08-16,1.2093,1.2056,1.2119,1.2007,0.32
"35",2022-08-15,1.2054,1.2133,1.2149,1.2049,-0.63
"36",2022-08-12,1.213,1.2209,1.2217,1.2099,-0.67
"37",2022-08-11,1.2212,1.2228,1.2251,1.2181,-0.11
"38",2022-08-10,1.2225,1.2077,1.2278,1.2064,1.2
"39",2022-08-09,1.208,1.2081,1.2132,1.2062,0.03
"40",2022-08-08,1.2076,1.2072,1.2139,1.2046,0.04
"41",2022-08-05,1.2071,1.216,1.217,1.2003,-0.71
"42",2022-08-04,1.2157,1.2144,1.22,1.2065,0.12
"43",2022-08-03,1.2143,1.2178,1.2209,1.2099,-0.24
"44",2022-08-02,1.2172,1.2246,1.228,1.2157,-0.62
"45",2022-08-01,1.2248,1.2165,1.2294,1.2155,0.67
"46",2022-07-29,1.2166,1.2173,1.2247,1.2062,-0.02
"47",2022-07-28,1.2169,1.2148,1.2193,1.2102,0.15
"48",2022-07-27,1.2151,1.203,1.2188,1.2019,1.05
"49",2022-07-26,1.2025,1.2043,1.2092,1.1963,-0.14
"50",2022-07-25,1.2042,1.2004,1.2087,1.1959,0.33
"51",2022-07-22,1.2002,1.1995,1.2065,1.1916,0.08
"52",2022-07-21,1.1993,1.1967,1.2005,1.1889,0.2
"53",2022-07-20,1.1969,1.199,1.2039,1.1953,-0.22
