Fecha,Último,Apertura,Máximo,Mínimo,% var.
2022-09-30,26525,26614,27557,26247,"-1,10%"
2022-09-29,26821,28276,28365,26578,"-6,81%"
2022-09-28,28781,28308,28900,27757,"1,72%"
2022-09-27,28294,28384,28867,27751,"2,51%"
2022-09-26,27601,27183,28409,27031,"0,25%"
2022-09-23,27533,28309,28450,27282,"-4,59%"
2022-09-22,28859,29986,30129,28582,"-4,06%"
2022-09-21,30080,30829,31380,30063,"-2,57%"
2022-09-20,30873,30691,31333,30558,"-0,11%"
2022-09-19,30907,30009,30984,29780,"1,89%"
2022-09-16,30335,29961,30371,29560,"-0,13%"
2022-09-15,30375,30183,30912,30072,"0,38%"
2022-09-14,30261,29224,30600,29164,"3,59%"
2022-09-13,29213,29290,29740,29040,"-4,04%"
2022-09-12,30442,30072,30549,30040,"1,58%"
2022-09-09,29968,29167,29985,29124,"3,60%"
2022-09-08,28926,28130,28950,27976,"1,96%"
2022-09-07,28370,27310,28384,27227,"3,38%"
2022-09-06,27442,27267,27599,26574,"1,56%"
2022-09-02,27021,28107,28235,26908,"-2,51%"
2022-09-01,27716,27258,27758,26615,"0,56%"
2022-08-31,27561,28062,28125,27181,"-0,75%"
2022-08-30,27770,28786,28848,27265,"-2,50%"
2022-08-29,28482,28283,28774,28070,"-1,14%"
2022-08-26,28809,29743,30200,28747,"-2,70%"
2022-08-25,29607,30236,30296,29160,"-0,35%"
2022-08-24,29710,29756,30365,29650,"0,22%"
2022-08-23,29645,29145,29883,28792,"2,26%"
2022-08-22,28991,29191,29240,28630,"-2,28%"
2022-08-19,29667,29900,30036,29250,"-2,05%"
2022-08-18,30287,30600,30650,30185,"-0,37%"
2022-08-17,30400,30340,30966,30003,"-0,84%"
2022-08-16,30656,31167,31467,30288,"-0,89%"
2022-08-15,30932,30179,31313,30123,"3,10%"
2022-08-12,30003,28941,30016,28503,"4,68%"
2022-08-11,28663,29651,29824,28583,"-2,62%"
2022-08-10,29436,29707,29751,28337,"3,89%"
2022-08-09,28333,29029,29240,27935,"-2,44%"
2022-08-08,29042,29500,30520,28909,"0,78%"
2022-08-05,28817,30267,30461,28554,"-6,63%"
2022-08-04,30863,31100,31361,30500,"0,40%"
